id,tool_id,tool_name,category,description,total_quantity,available_quantity,unit_price,created_at
3,null,"Multimeter","General","Multimeter",10,10,"0.00","2026-07-02T04:46:51.932Z"
5,null,"230V to 24V Converter","General","230V to 24V Converter",10,10,"0.00","2026-07-02T04:46:51.949Z"
6,null,"Raspberry pi With Case","General","Raspberry pi With Case",10,10,"0.00","2026-07-02T04:46:51.959Z"
7,null,"IA005: LoraWAN Board","General","IA005: LoraWAN Board",10,10,"0.00","2026-07-02T04:46:51.965Z"
8,null,"Wire Stripper","General","Wire Stripper",10,10,"0.00","2026-07-02T04:46:51.971Z"
9,null,"Nose Plier","General","Nose Plier",10,10,"0.00","2026-07-02T04:46:51.978Z"
10,null,"Ethernet Switch with adapter","General","Ethernet Switch with adapter",10,10,"0.00","2026-07-02T04:46:51.984Z"
11,null,"Ethernet Cable","General","Ethernet Cable",10,10,"0.00","2026-07-02T04:46:51.991Z"
12,null,"Programmer with cable","General","Programmer with cable",10,10,"0.00","2026-07-02T04:46:51.996Z"
13,null,"Cables with connector set","General","Cables with connector set",10,10,"0.00","2026-07-02T04:46:52.001Z"
14,null,"AC Tester","General","AC Tester",10,10,"0.00","2026-07-02T04:46:52.008Z"
15,null,"Snap-off Cutter","General","Snap-off Cutter",10,10,"0.00","2026-07-02T04:46:52.013Z"
16,null,"Insulation tape","General","Insulation tape",10,10,"0.00","2026-07-02T04:46:52.019Z"
17,null,"RS 485 tester with cable","General","RS 485 tester with cable",10,10,"0.00","2026-07-02T04:46:52.025Z"
18,null,"USB Pendrive","General","USB Pendrive",10,10,"0.00","2026-07-02T04:46:52.031Z"
19,null,"Power supply with cable","General","Power supply with cable",10,10,"0.00","2026-07-02T04:46:52.037Z"
20,null,"Mobile Charger","General","Mobile Charger",10,10,"0.00","2026-07-02T04:46:52.043Z"
21,null,"Micro SD Card 16GB","General","Micro SD Card 16GB",10,10,"0.00","2026-07-02T04:46:52.048Z"
22,null,"USB mini Keybaord E-SPECTRUM and Mouse set","General","USB mini Keybaord E-SPECTRUM and Mouse set",10,10,"0.00","2026-07-02T04:46:52.054Z"
23,null,"USB C type cable 1 meter","General","USB C type cable 1 meter",10,10,"0.00","2026-07-02T04:46:52.060Z"
24,null,"Edge Router with power adapter","General","Edge Router with power adapter",10,10,"0.00","2026-07-02T04:46:52.065Z"
25,null,"Raspberry Pi 400 with Power Adapter, Micro SD Card and RTC","General","Raspberry Pi 400 with Power Adapter, Micro SD Card and RTC",10,10,"0.00","2026-07-02T04:46:52.070Z"
26,null,"Full HDMI to Micro HDMI converter cable","General","Full HDMI to Micro HDMI converter cable",10,10,"0.00","2026-07-02T04:46:52.077Z"
27,null,"VGA to Mircro HDMI converter cable","General","VGA to Mircro HDMI converter cable",10,10,"0.00","2026-07-02T04:46:52.083Z"
28,null,"Bulb holder with wire","General","Bulb holder with wire",10,10,"0.00","2026-07-02T04:46:52.089Z"
29,null,"Bulb","General","Bulb",10,10,"0.00","2026-07-02T04:46:52.095Z"
30,null,"Shielded 4-core cable","General","Shielded 4-core cable",10,10,"0.00","2026-07-02T04:46:52.101Z"
31,null,"Fluke 179 True RMS Multimeter","General","Fluke 179 True RMS Multimeter",10,10,"0.00","2026-07-02T04:46:52.108Z"
32,null,"Fan Control Demo kit","General","Fan Control Demo kit",10,10,"0.00","2026-07-02T04:46:52.114Z"
33,null,"Chageer with cable","General","Chageer with cable",10,10,"0.00","2026-07-02T04:46:52.122Z"
34,null,"Shielded cable 4-core","General","Shielded cable 4-core",10,10,"0.00","2026-07-02T04:46:52.128Z"
35,null,"USB-RS485 converter with cable","General","USB-RS485 converter with cable",10,10,"0.00","2026-07-02T04:46:52.135Z"
36,null,"VGA to HDMI cable","General","VGA to HDMI cable",10,10,"0.00","2026-07-02T04:46:52.154Z"
37,null,"VGA to VGA Cable","General","VGA to VGA Cable",10,10,"0.00","2026-07-02T04:46:52.161Z"
38,null,"Cables, Varistor with connector set","General","Cables, Varistor with connector set",10,10,"0.00","2026-07-02T04:46:52.168Z"
39,null,"USB mini Keyboard","General","USB mini Keyboard",10,10,"0.00","2026-07-02T04:46:52.174Z"
40,null,"Power bank","General","Power bank",10,10,"0.00","2026-07-02T04:46:52.180Z"
41,null,"Industrial safety helmet","General","Industrial safety helmet",10,10,"0.00","2026-07-02T04:46:52.187Z"
42,null,"Solder station and its accessories","General","Solder station and its accessories",10,10,"0.00","2026-07-02T04:46:52.194Z"
43,null,"Electronic components Kit","General","Electronic components Kit",10,10,"0.00","2026-07-02T04:46:52.200Z"
44,null,"Rider helmet","General","Rider helmet",10,10,"0.00","2026-07-02T04:46:52.206Z"
45,null,"Mobile charger with cable","General","Mobile charger with cable",10,10,"0.00","2026-07-02T04:46:52.211Z"
46,null,"Tweezer","General","Tweezer",10,10,"0.00","2026-07-02T04:46:52.218Z"
47,null,"Industrial SMPS 24V DC 5A","General","Industrial SMPS 24V DC 5A",10,10,"0.00","2026-07-02T04:46:52.224Z"
48,null,"Industrial SMPS 24V DC 2.5A","General","Industrial SMPS 24V DC 2.5A",10,10,"0.00","2026-07-02T04:46:52.229Z"
49,null,"Measuring steel tape 5 meter","General","Measuring steel tape 5 meter",10,10,"0.00","2026-07-02T04:46:52.235Z"
50,null,"Energy monitoring POC and demonstration kit (Includes Elmeasure Energy meter LG+ 3399 - 1, ARMtronix IA010: Modbus to IIoT - 1, Contactor-1, momentory swich-2, Ethernet Cable -3)","General","Energy monitoring POC and demonstration kit (Includes Elmeasure Energy meter LG+ 3399 - 1, ARMtronix IA010: Modbus to IIoT - 1, Contactor-1, momentory swich-2, Ethernet Cable -3)",10,10,"0.00","2026-07-02T04:46:52.241Z"
51,null,"Tool Kit (Includes Elmeasure Energy meter LG+ 3399 - 1, Contactor-1, momentory swich-2, Master Control Unit-1, Light bulb-1","General","Tool Kit (Includes Elmeasure Energy meter LG+ 3399 - 1, Contactor-1, momentory swich-2, Master Control Unit-1, Light bulb-1",10,10,"0.00","2026-07-02T04:46:52.247Z"
52,null,"Full HDMI to HDMI cable","General","Full HDMI to HDMI cable",10,10,"0.00","2026-07-02T04:46:52.254Z"
53,null,"7100003572 MCU PANEL","General","7100003572 MCU PANEL",10,10,"0.00","2026-07-02T04:46:52.260Z"
54,null,"USB Key board","General","USB Key board",10,10,"0.00","2026-07-02T04:46:52.266Z"
55,null,"USB Mouse","General","USB Mouse",10,10,"0.00","2026-07-02T04:46:52.272Z"
56,null,"Wire cutter","General","Wire cutter",10,10,"0.00","2026-07-02T04:46:52.278Z"
57,null,"Opening Pry Tool","General","Opening Pry Tool",10,10,"0.00","2026-07-02T04:46:52.284Z"
58,null,"Lenovo minikeyboard","General","Lenovo minikeyboard",10,10,"0.00","2026-07-02T04:46:52.290Z"
59,null,"Intel NUC with power adapter","General","Intel NUC with power adapter",10,10,"0.00","2026-07-02T04:46:52.296Z"
60,null,"Wifi dongle with charger","General","Wifi dongle with charger",10,10,"0.00","2026-07-02T04:46:52.302Z"
61,null,"AC plug with cables along with  single pole MCB 16A","General","AC plug with cables along with  single pole MCB 16A",10,10,"0.00","2026-07-02T04:46:52.310Z"
62,null,"16A plug and socket","General","16A plug and socket",10,10,"0.00","2026-07-02T04:46:52.315Z"
63,null,"OBT500-18GM60-E5","General","OBT500-18GM60-E5",10,10,"0.00","2026-07-02T04:46:52.321Z"
64,null,"MCU PANEL","General","MCU PANEL",10,10,"0.00","2026-07-02T04:46:52.326Z"
65,null,"Industrial Plug 3 Pin 16 A","General","Industrial Plug 3 Pin 16 A",10,10,"0.00","2026-07-02T04:46:52.332Z"
66,null,"Control panel Key","General","Control panel Key",10,10,"0.00","2026-07-02T04:46:52.338Z"
2,null,"Soldering Iron","hardware","Imported via OCR",4,4,"100.00","2026-07-02T04:46:51.924Z"
67,null,"Stationary Type 3-Pole, Quick Connection Terminal","General","Stationary Type 3-Pole, Quick Connection Terminal",10,10,"0.00","2026-07-02T04:46:52.344Z"
68,null,"Anti static brading tool","General","Anti static brading tool",10,10,"0.00","2026-07-02T04:46:52.350Z"
69,null,"Micro USB cable 1 meter","General","Micro USB cable 1 meter",10,10,"0.00","2026-07-02T04:46:52.356Z"
70,null,"Full HDMI to Micro HDMI converter","General","Full HDMI to Micro HDMI converter",10,10,"0.00","2026-07-02T04:46:52.362Z"
71,null,"Switch with lamp 24V","General","Switch with lamp 24V",10,10,"0.00","2026-07-02T04:46:52.367Z"
72,null,"Wireless mini-keyboard","General","Wireless mini-keyboard",10,10,"0.00","2026-07-02T04:46:52.373Z"
